,StockCode,Total_Sales,Total_Quantity_Purchase,Frequency,Mean_diff_purchase,Description
0,10002,759.8900000000002,860,71,8.108695652173912,INFLATABLE POLITICAL GLOBE 
1,10080,119.09,303,22,13.571428571428571,GROOVY CACTUS INFLATABLE
2,10120,40.530000000000015,193,30,15.458333333333334,DOGGY RUBBER
3,10123C,3.25,5,3,123.66666666666667,HEARTS WRAPPING TAPE 
4,10124A,6.72,16,5,73.6,SPOTS ON RED BOOKCOVER TAPE
5,10124G,7.14,17,4,93.0,ARMY CAMO BOOKCOVER TAPE
6,10125,994.8400000000004,1296,94,5.920634920634921,MINI FUNKY DESIGN TAPES
7,10133,1544.2200000000007,2867,198,3.390909090909091,COLOURING PENCILS BROWN TUBE
8,10135,2207.390000000001,2231,179,3.134453781512605,COLOURING PENCILS BROWN TUBE
9,11001,2389.4399999999987,1615,115,4.191011235955056,ASSTD DESIGN RACING CAR PEN
10,15030,41.46999999999999,143,13,21.666666666666668,FAN BLACK FRAME 
11,15034,840.0200000000006,6591,138,3.5142857142857142,PAPER POCKET TRAVELING FAN 
12,15036,18569.83999999987,23826,519,1.603448275862069,ASSORTED COLOURS SILK FAN
13,15039,1979.4900000000011,2091,146,3.5142857142857142,SANDALWOOD FAN
14,15044A,1456.720000000001,464,103,4.304878048780488,PINK PAPER PARASOL 
15,15044B,946.8300000000004,321,60,7.173076923076923,BLUE PAPER PARASOL 
16,15044C,1025.940000000001,314,89,5.257142857142857,PURPLE PAPER PARASOL
17,15044D,1822.7100000000016,645,85,5.111111111111111,RED PAPER PARASOL
18,15056BL,16915.72000000001,2931,383,1.7677725118483412,EDWARDIAN PARASOL BLACK
19,15056N,23761.76999999995,4081,544,1.5224489795918368,EDWARDIAN PARASOL NATURAL
20,15056P,4779.299999999998,811,172,2.8473282442748094,EDWARDIAN PARASOL PINK
21,15058A,1668.4900000000005,200,89,5.6875,BLUE POLKADOT GARDEN PARASOL
22,15058B,1885.2699999999995,228,97,5.432835820895522,PINK POLKADOT GARDEN PARASOL
23,15058C,1429.8199999999995,240,72,5.618181818181818,ICE CREAM DESIGN GARDEN PARASOL
24,15060B,1832.4199999999992,454,134,3.509433962264151,FAIRY CAKE DESIGN UMBRELLA
25,16008,360.70999999999987,2892,70,6.4035087719298245,SMALL FOLDING SCISSOR(POINTED EDGE)
26,16010,3.5999999999999996,30,3,123.0,FOLDING CAMPING SCISSOR W/KNIF & S
27,16011,372.3300000000002,1773,47,8.2,ANIMAL STICKERS
28,16012,261.2399999999999,1244,37,12.4,FOOD/DRINK SPONGE STICKERS
29,16014,4335.759999999999,13328,54,7.612244897959184,SMALL CHINESE STYLE SCISSOR
30,16015,289.98,662,24,15.869565217391305,MEDIUM CHINESE STYLE SCISSOR
31,16016,1053.45,1273,65,6.216666666666667,LARGE CHINESE STYLE SCISSOR
32,16020C,69.89999999999999,84,17,21.692307692307693,CLEAR STATIONERY BOX SET 
33,16033,100.79999999999998,840,4,90.5,MINI HIGHLIGHTER PENS
34,16043,11.759999999999998,98,2,92.5,POP ART PUSH DOWN RUBBER 
35,16045,380.0,8900,69,6.285714285714286,POPART WOODEN PENCILS ASST
36,16046,57.80000000000001,68,17,28.615384615384617,TEATIME PEN CASE & PENS
